year,population
1811,4000
1840,12600
1863,29300
1897,119000
1914,172300
1923,231400
1926,327661
1931,425120
1937,461410
1939,502928
1956,552000
1959,599542
1962,661000
1967,757000
1970,788827
1973,845000
1975,898000
1979,934095
1982,966000
1985,980000
1986,991000
1987,1004000
1989,1019305
1990,1013000
1991,1028000
1996,1013000
1997,1023000
1999,1017300
2001,997800
2002,1068267
2004,1062000
2008,1048700
2010,1089261
2013,1103733
2016,1119875
2020,1137904
2021,1142162

